區域,季別,成交日,路段,編號,社區棟別,門牌,型態,交易標的,樓層,格局,坪數,總價萬,單價萬每坪,屋齡,完工年月,車位,備註
高鐵特區,113S3,2024-07-14,光明六路東二段,RPXNMLQKQHJGFBJ96DA,光明六路東二段６３５號,新竹縣竹北市光明六路東二段６３５號十四樓之二,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十四層/十四層,2房2廳1衛,33.4,2545,76.3,0.6,2023-12-15,坡道平面,
高鐵特區,113S3,2024-07-18,六家五路二段,RPQOMLMJQHJGFBJ48DA,六家五路二段１７５號,新竹縣竹北市六家五路二段１７５號二樓,住宅大樓(11層含以上有電梯),房地(土地+建物),二層/十四層,3房2廳2衛,53.3,3988,74.9,2.2,2022-05-17,,
高鐵特區,114S1,2024-07-21,十興路二段,RPSTMLRJKIJGFBJ56DA,十興路二段５８號,新竹縣竹北市十興路二段５８號十樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十層/十四層,3房2廳2衛,47.3,2608,65.5,-0.3,2024-11-07,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,113S3,2024-07-29,高鐵八路,RPUNMLNLQHJGFBJ09DA,高鐵八路５８號,新竹縣竹北市高鐵八路５８號十一樓之三,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十一層/十五層,2房2廳2衛,44.3,1325,29.9,0.3,2024-03-14,坡道平面,親友、員工、共有人或其他特殊關係間之交易；
高鐵特區,113S4,2024-08-06,高鐵九路,RPWNMLRJQHJGFBJ86DA,高鐵九路６１巷２１號,新竹縣竹北市高鐵九路６１巷２１號十一樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十一層/十二層,3房2廳2衛,66.6,3960,59.5,0.7,2023-12-01,坡道平面,
高鐵特區,113S4,2024-08-15,十興路一段,RPSNMLNKRHJGFBJ98EA,十興路一段５５２號,新竹縣竹北市十興路一段５５２號三樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,三層/十九層,3房2廳2衛,58.2,3690,63.4,1.7,2022-12-30,坡道平面,
高鐵特區,115S1,2024-08-16,隘口七街,RPTNMLOLKIKGFBJ68DA,隘口七街６０號,新竹縣竹北市隘口七街６０號二樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,二層/七層,3房2廳2衛,45.2,2990,69.9,-1.2,2025-10-28,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,113S4,2024-08-28,六家五路二段,RPTNMLQJRHJGFBJ56DA,六家五路二段１７３號,新竹縣竹北市六家五路二段１７３號三樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,三層/十四層,3房2廳2衛,67.5,3970,74.0,2.2,2022-05-17,坡道平面,
高鐵特區,113S4,2024-09-12,高鐵八路,RPXOMLRLJIJGFBJ66DA,高鐵八路５２號,新竹縣竹北市高鐵八路５２號六樓之二,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,六層/十五層,3房2廳2衛,52.9,1520,28.7,0.5,2024-03-14,坡道平面,親友、員工、共有人或其他特殊關係間之交易；
高鐵特區,113S4,2024-09-13,高鐵八路,RPPOMLSLIIJGFBJ48DA,高鐵八路５８號,新竹縣竹北市高鐵八路５８號七樓之三,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,七層/十五層,2房2廳2衛,44.3,3450,77.9,0.5,2024-03-14,坡道平面,
